x,y,timestamp
722,477,31955979
722,478,31955983
724,479,31955987
722,480,31955991
722,478,31955995
719,478,31955999
718,479,31956003
720,476,31956007
709,465,31956011
708,468,31956016
709,467,31956020
711,469,31956024
710,470,31956028
711,470,31956032
712,471,31956036
713,471,31956040
707,465,31956044
709,465,31956048
709,464,31956052
709,464,31956056
708,464,31956060
714,463,31956064
715,461,31956068
717,464,31956072
720,464,31956076
715,467,31956080
714,471,31956084
713,472,31956088
714,474,31956092
716,472,31956096
716,468,31956100
716,465,31956104
716,467,31956108
706,472,31956112
705,473,31956116
702,472,31956120
702,477,31956124
697,480,31956128
698,482,31956133
697,484,31956137
698,488,31956141
685,489,31956145
686,494,31956149
680,490,31956153
682,491,31956157
684,493,31956161
685,494,31956165
682,495,31956169
684,497,31956173
684,498,31956177
676,503,31956181
674,507,31956185
675,508,31956189
674,512,31956193
675,512,31956197
679,507,31956201
681,508,31956205
679,509,31956209
673,515,31956213
668,513,31956217
667,514,31956221
666,515,31956225
667,513,31956229
668,517,31956233
667,520,31956237
665,521,31956241
656,518,31956245
657,515,31956250
657,518,31956254
663,513,31956258
663,513,31956262
665,512,31956266
665,512,31956270
667,510,31956274
670,507,31956278
661,501,31956282
661,505,31956286
664,503,31956290
665,500,31956294
668,503,31956298
668,504,31956302
672,506,31956306
675,505,31956310
671,502,31956314
673,503,31956318
674,503,31956322
677,505,31956326
676,509,31956330
678,513,31956334
678,516,31956338
679,517,31956342
676,524,31956346
677,528,31956350
678,529,31956354
681,531,31956358
681,532,31956362
681,531,31956367
683,532,31956371
685,534,31956375
684,533,31956379
684,531,31956383
685,530,31956387
686,532,31956391
685,534,31956395
686,532,31956399
684,531,31956403
685,528,31956407
689,525,31956411
689,525,31956415
687,526,31956419
686,527,31956423
683,524,31956427
683,523,31956431
684,522,31956435
685,524,31956439
686,520,31956443
684,519,31956447
687,514,31956451
689,516,31956455
694,511,31956459
695,514,31956463
696,512,31956467
679,515,31956471
683,506,31956475
629,502,31956480
635,499,31956484
592,493,31956488
596,489,31956492
580,493,31956496
583,487,31956500
587,491,31956504
592,487,31956508
600,483,31956512
597,493,31956516
600,493,31956520
595,496,31956524
598,495,31956528
554,515,31956532
554,512,31956536
471,558,31956540
474,558,31956544
423,582,31956548
425,579,31956552
393,596,31956556
395,599,31956560
388,603,31956564
392,605,31956568
386,610,31956572
387,611,31956576
382,619,31956580
382,617,31956584
380,623,31956588
380,622,31956592
375,623,31956597
375,623,31956601
373,627,31956605
374,626,31956609
373,632,31956613
373,629,31956617
375,627,31956621
373,624,31956625
379,634,31956629
380,636,31956633
382,639,31956637
384,638,31956641
383,638,31956645
383,635,31956649
386,634,31956653
388,637,31956657
387,639,31956661
388,637,31956665
385,638,31956669
387,636,31956673
387,637,31956677
386,631,31956681
387,630,31956685
387,628,31956689
385,630,31956693
387,634,31956697
385,634,31956701
388,634,31956705
386,632,31956709
386,631,31956714
382,627,31956718
382,622,31956722
380,623,31956726
379,619,31956730
378,619,31956734
378,617,31956738
378,618,31956742
378,616,31956746
380,608,31956750
380,607,31956754
384,607,31956758
384,605,31956762
383,603,31956766
375,590,31956770
376,587,31956774
371,569,31956778
371,568,31956782
372,565,31956786
375,561,31956790
375,562,31956794
376,562,31956798
376,562,31956802
376,557,31956806
375,559,31956810
377,558,31956814
375,560,31956818
376,555,31956822
375,553,31956826
373,540,31956831
372,542,31956835
367,537,31956839
366,538,31956843
367,537,31956847
366,539,31956851
366,541,31956855
366,541,31956859
367,540,31956863
369,543,31956867
370,546,31956871
369,549,31956879
364,557,31956883
367,560,31956887
367,563,31956891
369,560,31956895
369,559,31956903
368,558,31956907
365,561,31956911
360,580,31956915
359,580,31956919
359,582,31956923
359,583,31956927
358,580,31956931
360,580,31956939
360,581,31956943
358,578,31956948
355,592,31956952
355,590,31956956
354,596,31956964
353,597,31956968
353,595,31956972
352,599,31956976
351,598,31956980
347,601,31956984
347,602,31956988
344,605,31956992
343,603,31956996
339,607,31957000
338,605,31957004
338,608,31957008
339,607,31957012
328,605,31957016
321,605,31957020
320,606,31957024
293,588,31957028
291,591,31957032
261,568,31957036
257,569,31957040
250,567,31957044
250,567,31957048
242,561,31957052
241,561,31957056
244,561,31957060
243,562,31957065
247,563,31957069
247,561,31957073
250,564,31957077
231,569,31957081
227,565,31957085
180,571,31957089
183,576,31957093
151,584,31957097
151,583,31957101
136,584,31957105
139,592,31957109
136,592,31957113
136,605,31957117
136,605,31957121
135,603,31957125
131,601,31957129
131,597,31957133
128,593,31957137
126,590,31957141
126,589,31957145
126,589,31957149
125,594,31957153
123,589,31957157
118,588,31957161
118,584,31957165
118,587,31957169
115,581,31957173
116,583,31957177
116,579,31957182
122,590,31957186
121,587,31957190
123,588,31957194
123,587,31957198
126,587,31957202
126,586,31957206
127,588,31957210
127,590,31957214
141,593,31957218
140,593,31957222
147,592,31957226
148,592,31957230
148,593,31957234
148,596,31957238
150,599,31957242
151,604,31957246
161,601,31957250
162,604,31957254
163,600,31957258
164,607,31957262
163,604,31957266
164,607,31957270
162,607,31957274
165,612,31957278
169,610,31957282
172,606,31957286
169,604,31957290
171,608,31957294
170,608,31957299
171,612,31957303
165,613,31957307
168,615,31957311
173,615,31957315
193,612,31957319
189,611,31957323
264,665,31957327
266,663,31957331
266,663,31957335
269,664,31957339
281,668,31957343
286,670,31957347
288,668,31957351
286,668,31957355
299,672,31957359
307,673,31957363
248,629,31957367
295,619,31957371
292,599,31957375
366,581,31957379
374,584,31957383
427,571,31957387
433,577,31957391
452,572,31957395
451,571,31957399
452,571,31957403
451,569,31957407
447,569,31957411
445,563,31957416
447,562,31957420
443,559,31957424
440,556,31957428
437,551,31957432
437,547,31957436
437,548,31957440
434,546,31957444
436,552,31957448
433,549,31957452
435,565,31957456
433,566,31957460
430,571,31957464
430,567,31957468
429,565,31957472
424,566,31957476
422,567,31957480
418,567,31957484
411,564,31957488
407,561,31957492
406,563,31957496
404,563,31957500
405,564,31957504
406,565,31957508
407,569,31957512
407,572,31957516
404,575,31957520
404,575,31957524
405,575,31957528
407,574,31957533
409,580,31957537
410,580,31957541
412,581,31957545
415,582,31957549
414,586,31957553
417,589,31957557
418,589,31957561
418,591,31957565
418,595,31957569
422,596,31957573
422,599,31957577
423,599,31957581
424,599,31957585
419,602,31957589
420,602,31957593
418,606,31957597
416,604,31957601
412,605,31957605
410,602,31957609
406,605,31957613
403,599,31957617
392,601,31957621
392,603,31957625
389,603,31957629
389,605,31957633
383,605,31957637
384,604,31957641
381,604,31957645
381,604,31957650
375,605,31957654
375,607,31957658
374,604,31957662
373,603,31957666
369,596,31957670
369,595,31957674
368,595,31957678
367,595,31957682
368,596,31957686
368,596,31957690
373,593,31957694
373,592,31957698
380,590,31957702
380,591,31957706
382,589,31957710
382,590,31957714
390,585,31957718
387,580,31957722
394,575,31957726
395,573,31957730
395,572,31957734
394,570,31957738
397,570,31957742
396,569,31957746
397,567,31957750
394,564,31957754
395,562,31957758
396,561,31957762
396,562,31957767
393,559,31957771
392,559,31957775
391,560,31957779
387,561,31957783
387,558,31957787
386,559,31957791
383,560,31957795
377,564,31957799
378,564,31957803
374,568,31957807
372,566,31957811
372,566,31957815
372,566,31957819
370,564,31957823
371,564,31957827
370,566,31957831
370,565,31957835
370,565,31957839
371,564,31957843
368,567,31957847
369,565,31957851
369,565,31957855
370,565,31957859
368,564,31957863
368,562,31957867
368,560,31957871
369,556,31957875
367,555,31957879
367,556,31957884
367,557,31957888
