x,y,timestamp
727,813,31624327
728,816,31624331
726,816,31624335
727,817,31624339
729,815,31624343
732,818,31624347
733,821,31624351
735,821,31624355
725,819,31624359
727,817,31624363
726,820,31624367
728,820,31624371
730,824,31624375
731,823,31624379
726,823,31624383
729,824,31624387
727,828,31624391
724,832,31624395
726,833,31624399
727,834,31624403
729,834,31624407
729,834,31624411
731,832,31624416
730,829,31624420
732,828,31624424
726,824,31624428
726,822,31624432
725,820,31624436
724,819,31624440
724,822,31624444
725,820,31624448
723,819,31624452
724,817,31624456
722,819,31624460
728,815,31624464
725,810,31624468
727,808,31624472
722,783,31624476
723,784,31624480
722,754,31624484
726,754,31624488
732,741,31624492
732,742,31624496
732,723,31624500
734,724,31624504
736,719,31624508
736,717,31624512
737,720,31624516
738,719,31624520
741,725,31624524
742,699,31624528
742,696,31624533
733,661,31624537
732,663,31624541
709,644,31624545
709,649,31624549
700,633,31624553
699,628,31624557
688,611,31624561
681,596,31624565
677,592,31624569
672,588,31624573
668,593,31624577
670,596,31624581
668,594,31624585
669,595,31624589
668,593,31624593
669,597,31624597
667,597,31624601
669,598,31624605
670,599,31624609
673,601,31624613
680,595,31624617
681,597,31624621
691,590,31624625
690,592,31624629
693,591,31624633
693,592,31624637
700,590,31624641
700,593,31624645
704,589,31624650
704,587,31624654
702,591,31624658
702,593,31624662
704,592,31624666
704,592,31624670
708,591,31624674
707,595,31624678
708,594,31624682
706,595,31624686
709,594,31624690
709,593,31624694
703,596,31624698
703,598,31624702
701,600,31624706
699,603,31624710
697,604,31624714
697,604,31624718
694,607,31624722
694,611,31624726
687,614,31624730
687,617,31624734
687,621,31624738
688,624,31624742
686,624,31624746
686,624,31624750
682,625,31624754
684,626,31624758
686,632,31624762
686,632,31624767
681,635,31624771
682,633,31624775
680,634,31624779
681,635,31624783
683,634,31624787
684,637,31624791
676,631,31624795
677,630,31624799
676,630,31624803
676,633,31624807
673,635,31624811
669,635,31624815
667,636,31624819
648,631,31624823
648,631,31624827
633,626,31624831
628,626,31624835
618,627,31624839
617,625,31624843
611,618,31624847
609,620,31624851
614,628,31624855
613,629,31624859
608,631,31624863
606,638,31624867
606,640,31624871
585,654,31624875
583,654,31624879
548,679,31624884
548,681,31624888
517,697,31624892
515,706,31624896
489,721,31624900
487,725,31624904
479,731,31624908
478,730,31624912
479,729,31624916
479,726,31624920
