x,y,timestamp
634,759,26618701
637,758,26618705
638,758,26618709
640,757,26618713
639,758,26618717
641,755,26618721
639,755,26618725
642,752,26618729
643,756,26618733
647,757,26618737
646,758,26618741
651,752,26618745
650,753,26618749
650,755,26618753
650,753,26618757
651,751,26618761
651,752,26618765
654,752,26618769
657,752,26618773
658,746,26618777
659,747,26618781
666,745,26618785
677,734,26618789
719,708,26618793
731,684,26618798
772,652,26618802
785,639,26618806
788,632,26618810
795,625,26618814
778,634,26618818
780,636,26618822
774,641,26618826
774,643,26618830
771,644,26618834
769,645,26618838
767,644,26618842
770,643,26618846
766,644,26618850
766,645,26618854
760,651,26618858
760,648,26618862
761,646,26618866
762,648,26618870
760,649,26618874
766,654,26618878
770,653,26618882
771,660,26618886
772,661,26618890
772,665,26618894
773,664,26618898
772,661,26618902
779,659,26618906
779,657,26618910
779,657,26618915
780,660,26618919
780,660,26618923
780,657,26618927
786,656,26618931
787,656,26618935
789,656,26618939
789,657,26618943
786,658,26618947
786,656,26618951
786,655,26618955
786,656,26618959
783,657,26618963
783,655,26618967
783,655,26618971
783,652,26618975
786,648,26618979
787,651,26618983
785,652,26618987
784,652,26618991
786,651,26618995
785,652,26618999
788,650,26619003
788,649,26619007
786,649,26619011
783,648,26619015
782,646,26619019
780,647,26619023
782,647,26619027
778,652,26619032
765,672,26619036
746,685,26619040
709,720,26619044
683,741,26619048
631,765,26619052
612,771,26619056
583,787,26619060
567,792,26619064
365,886,26619068
362,883,26619072
363,882,26619076
367,882,26619080
538,802,26619084
537,801,26619088
505,805,26619092
507,802,26619096
484,809,26619100
486,810,26619104
475,816,26619108
476,813,26619112
473,812,26619116
470,810,26619120
465,811,26619124
465,807,26619128
466,805,26619132
465,800,26619136
463,801,26619140
461,800,26619144
453,799,26619149
452,799,26619153
457,797,26619157
456,796,26619161
467,798,26619165
467,799,26619169
480,802,26619173
481,805,26619177
490,803,26619181
488,807,26619185
485,803,26619189
485,805,26619193
487,805,26619197
487,806,26619201
487,804,26619205
486,805,26619209
489,810,26619213
487,807,26619217
494,803,26619221
491,802,26619225
487,802,26619229
487,803,26619233
491,802,26619237
490,801,26619241
493,800,26619245
492,798,26619249
492,802,26619253
478,787,26619257
446,787,26619261
427,760,26619266
393,765,26619270
385,752,26619274
369,751,26619278
370,745,26619282
365,749,26619286
369,748,26619290
367,747,26619294
368,749,26619298
365,754,26619302
366,750,26619306
364,751,26619310
365,751,26619314
360,749,26619318
362,747,26619322
359,745,26619326
361,747,26619330
358,749,26619334
358,750,26619338
359,750,26619342
358,748,26619346
358,749,26619350
360,750,26619354
360,754,26619358
360,757,26619362
355,755,26619366
355,753,26619370
362,755,26619374
363,754,26619378
364,753,26619383
366,752,26619387
368,752,26619391
369,751,26619395
369,755,26619399
368,753,26619403
366,757,26619407
365,755,26619411
365,753,26619415
364,752,26619419
361,741,26619423
343,714,26619427
311,700,26619431
295,663,26619435
269,655,26619439
265,640,26619443
244,632,26619447
239,623,26619451
229,619,26619455
230,619,26619459
231,620,26619463
230,620,26619467
228,620,26619471
226,616,26619475
229,607,26619479
230,603,26619483
228,601,26619487
227,599,26619491
230,597,26619495
226,592,26619500
228,592,26619504
225,585,26619508
221,585,26619512
219,585,26619516
222,582,26619520
221,584,26619524
226,589,26619528
226,590,26619532
227,589,26619536
226,587,26619540
222,588,26619544
223,589,26619548
225,592,26619552
225,595,26619556
226,595,26619560
227,600,26619564
227,601,26619568
226,605,26619572
224,605,26619576
224,609,26619580
226,611,26619584
227,615,26619588
228,616,26619592
229,617,26619596
229,615,26619600
230,619,26619604
228,620,26619608
230,621,26619612
235,618,26619617
235,621,26619621
233,622,26619625
233,624,26619629
233,623,26619633
233,618,26619637
237,618,26619641
239,619,26619645
270,614,26619649
288,623,26619653
386,600,26619657
431,623,26619661
534,593,26619665
555,598,26619669
594,588,26619673
609,589,26619677
619,585,26619681
630,588,26619685
625,582,26619689
626,587,26619693
617,587,26619697
622,591,26619701
620,588,26619705
622,592,26619709
617,591,26619713
617,594,26619717
615,592,26619721
617,595,26619725
616,594,26619729
622,601,26619734
649,598,26619738
666,594,26619742
760,567,26619746
808,591,26619750
861,564,26619754
877,574,26619758
872,570,26619762
868,567,26619766
849,573,26619770
850,572,26619774
850,570,26619778
850,573,26619782
846,574,26619786
845,571,26619790
843,571,26619794
842,569,26619798
841,570,26619802
841,574,26619806
837,574,26619810
836,573,26619814
836,569,26619818
839,575,26619822
841,578,26619826
839,577,26619830
834,580,26619834
832,580,26619838
827,580,26619842
825,581,26619846
823,581,26619851
824,581,26619855
821,579,26619859
822,578,26619863
824,576,26619867
825,576,26619871
830,576,26619875
831,573,26619879
829,573,26619883
829,574,26619887
833,573,26619891
832,572,26619895
831,571,26619899
831,572,26619903
835,568,26619907
836,569,26619911
834,569,26619915
835,567,26619919
839,567,26619923
841,567,26619927
844,566,26619931
841,565,26619935
838,564,26619939
839,567,26619943
838,568,26619947
838,569,26619951
839,567,26619955
837,569,26619959
838,570,26619963
839,569,26619968
838,570,26619972
832,567,26619976
824,570,26619980
801,568,26619984
759,585,26619988
735,578,26619992
693,586,26619996
677,581,26620000
650,593,26620004
642,595,26620008
634,599,26620012
638,599,26620016
635,597,26620020
636,595,26620024
635,595,26620028
635,592,26620032
629,593,26620036
629,594,26620040
627,595,26620044
626,594,26620048
624,592,26620052
624,593,26620056
617,595,26620060
617,593,26620064
612,595,26620068
611,595,26620072
605,598,26620076
605,598,26620080
607,597,26620085
608,597,26620089
608,595,26620093
608,594,26620097
603,597,26620101
601,594,26620105
601,596,26620109
600,597,26620113
598,596,26620117
597,595,26620121
597,596,26620125
599,595,26620129
597,597,26620133
597,596,26620137
597,593,26620141
597,593,26620145
601,596,26620149
601,595,26620153
604,593,26620157
605,595,26620161
603,599,26620165
604,600,26620169
607,600,26620173
606,597,26620177
609,595,26620181
610,596,26620185
614,598,26620189
614,598,26620193
617,598,26620197
619,601,26620202
620,603,26620206
620,603,26620210
625,603,26620214
626,604,26620218
624,603,26620222
623,601,26620226
624,602,26620230
625,606,26620234
628,608,26620238
629,610,26620242
633,612,26620246
634,614,26620250
634,613,26620254
634,611,26620258
632,610,26620262
630,610,26620266
629,612,26620270
634,617,26620274
634,617,26620278
632,613,26620282
632,614,26620286
633,613,26620290
634,610,26620294
633,612,26620298
632,613,26620302
636,615,26620306
641,617,26620310
643,621,26620314
645,624,26620319
644,627,26620323
644,627,26620327
642,623,26620331
640,621,26620335
640,621,26620339
643,619,26620343
645,617,26620347
643,618,26620351
642,616,26620355
641,613,26620359
641,613,26620363
641,611,26620367
640,611,26620371
644,611,26620375
644,614,26620379
644,615,26620383
643,615,26620387
642,617,26620391
641,619,26620395
644,617,26620399
644,617,26620403
645,621,26620407
646,621,26620411
647,616,26620415
647,619,26620419
644,622,26620423
644,622,26620427
645,622,26620431
646,625,26620436
651,622,26620440
652,621,26620444
651,626,26620448
651,626,26620452
654,625,26620456
654,622,26620460
650,621,26620464
651,620,26620468
650,622,26620472
650,620,26620476
648,620,26620480
649,619,26620484
653,621,26620488
653,620,26620492
646,619,26620496
645,618,26620500
650,616,26620504
650,614,26620508
650,616,26620512
651,614,26620516
648,615,26620520
649,617,26620524
647,619,26620528
648,618,26620532
650,617,26620536
651,617,26620540
677,606,26620544
690,612,26620548
723,602,26620553
728,604,26620557
725,602,26620561
723,602,26620565
719,601,26620569
719,601,26620573
720,601,26620577
720,601,26620581
716,600,26620585
716,601,26620589
715,601,26620593
714,600,26620597
716,597,26620601
715,596,26620605
716,595,26620609
715,595,26620613
717,594,26620617
720,596,26620621
721,597,26620625
722,595,26620629
719,597,26620633
718,597,26620637
717,596,26620641
716,596,26620645
715,597,26620649
715,597,26620653
716,597,26620657
715,597,26620661
715,597,26620665
714,597,26620670
714,597,26620674
714,597,26620678
714,596,26620682
714,599,26620686
713,599,26620690
714,600,26620694
715,599,26620698
715,599,26620702
715,598,26620706
716,599,26620710
716,597,26620714
716,595,26620718
715,596,26620722
715,595,26620726
714,598,26620730
715,599,26620734
717,598,26620738
717,597,26620742
712,596,26620746
712,597,26620750
710,596,26620754
709,596,26620758
709,598,26620762
709,595,26620766
709,596,26620770
709,596,26620774
708,597,26620778
708,595,26620782
707,596,26620787
707,596,26620791
706,600,26620795
713,607,26620799
742,603,26620803
760,616,26620807
800,611,26620811
819,631,26620815
837,635,26620819
840,639,26620823
831,646,26620827
829,642,26620831
822,641,26620835
821,639,26620839
816,640,26620843
816,641,26620847
815,637,26620851
816,635,26620855
813,638,26620859
814,638,26620863
813,640,26620867
813,641,26620871
812,641,26620875
813,641,26620879
812,642,26620883
810,643,26620887
811,645,26620891
810,644,26620895
811,648,26620899
808,645,26620904
809,647,26620908
810,647,26620912
813,644,26620916
813,643,26620920
814,645,26620924
814,643,26620928
815,645,26620932
816,645,26620936
816,647,26620940
815,647,26620944
817,647,26620948
817,645,26620952
818,644,26620956
817,641,26620960
818,642,26620964
820,642,26620968
820,643,26620972
820,642,26620976
819,644,26620980
822,647,26620984
825,645,26620988
825,643,26620992
825,642,26620996
826,645,26621000
823,648,26621004
824,649,26621008
824,646,26621012
823,646,26621016
818,649,26621021
811,646,26621025
789,649,26621029
753,634,26621033
710,640,26621037
692,631,26621041
655,638,26621045
650,641,26621049
635,643,26621053
638,640,26621057
636,637,26621061
638,636,26621065
637,636,26621069
638,635,26621073
634,637,26621077
634,637,26621081
630,637,26621085
630,635,26621089
627,635,26621093
628,636,26621097
627,634,26621101
628,630,26621105
625,629,26621109
626,630,26621113
625,637,26621117
627,640,26621121
625,643,26621125
626,637,26621129
626,636,26621133
628,639,26621138
626,639,26621142
626,640,26621146
625,639,26621150
625,636,26621154
624,638,26621158
624,639,26621162
622,637,26621166
623,642,26621170
623,639,26621174
624,641,26621178
624,639,26621182
624,643,26621186
628,647,26621190
628,648,26621194
629,648,26621198
630,650,26621202
632,649,26621206
632,649,26621210
635,648,26621214
635,647,26621218
637,647,26621222
636,650,26621226
641,647,26621230
641,647,26621234
637,647,26621238
636,648,26621242
641,650,26621246
640,646,26621250
642,645,26621255
640,647,26621259
636,651,26621263
628,648,26621267
608,651,26621271
601,644,26621275
595,645,26621279
597,643,26621283
601,644,26621287
599,645,26621291
598,645,26621295
596,643,26621299
593,644,26621303
592,641,26621307
595,642,26621311
596,641,26621315
596,640,26621319
597,640,26621323
593,644,26621327
593,643,26621331
591,643,26621335
591,638,26621339
594,637,26621343
594,637,26621347
595,639,26621351
596,643,26621355
599,642,26621359
599,642,26621363
597,640,26621367
598,641,26621372
599,645,26621376
598,642,26621380
600,639,26621384
599,639,26621388
598,639,26621392
596,636,26621396
595,635,26621400
595,639,26621404
597,639,26621408
597,637,26621412
597,636,26621416
597,639,26621420
595,639,26621424
595,638,26621428
593,638,26621432
593,639,26621436
590,638,26621440
592,638,26621444
589,638,26621448
589,637,26621452
588,636,26621456
588,636,26621460
589,643,26621464
590,646,26621468
587,646,26621472
588,648,26621476
587,648,26621480
588,648,26621484
586,648,26621489
586,648,26621493
587,649,26621497
585,648,26621501
583,648,26621505
584,649,26621509
588,651,26621513
588,650,26621517
586,648,26621521
585,650,26621525
580,651,26621529
580,649,26621533
579,652,26621537
580,652,26621541
578,649,26621545
576,647,26621549
578,649,26621553
578,649,26621557
599,648,26621561
614,647,26621565
690,627,26621569
752,708,26621573
808,688,26621577
821,695,26621581
837,685,26621585
836,685,26621589
827,685,26621593
828,662,26621597
817,664,26621601
817,664,26621606
816,663,26621610
830,693,26621614
827,694,26621618
827,671,26621622
826,668,26621626
812,662,26621630
807,660,26621634
773,599,26621638
774,599,26621642
785,606,26621646
784,606,26621650
785,605,26621654
784,606,26621658
784,603,26621662
781,606,26621666
782,606,26621670
780,607,26621674
779,606,26621678
781,607,26621682
780,605,26621686
776,605,26621690
775,602,26621694
775,601,26621698
775,602,26621702
775,601,26621706
776,600,26621710
775,600,26621714
777,602,26621718
775,603,26621723
774,604,26621727
774,603,26621731
773,604,26621735
772,602,26621739
772,603,26621743
771,605,26621747
772,605,26621751
775,605,26621755
775,608,26621759
775,605,26621763
775,606,26621767
777,605,26621771
779,606,26621775
783,609,26621779
783,607,26621783
797,600,26621787
807,605,26621791
825,596,26621795
830,599,26621799
829,601,26621803
829,601,26621807
825,604,26621811
825,602,26621815
827,598,26621819
825,599,26621823
826,598,26621827
826,599,26621831
831,599,26621835
832,598,26621840
827,599,26621844
827,601,26621848
826,599,26621852
825,600,26621856
828,600,26621860
830,600,26621864
829,598,26621868
828,596,26621872
828,593,26621876
827,594,26621880
826,594,26621884
826,595,26621888
826,593,26621892
828,595,26621896
829,596,26621900
831,597,26621904
830,596,26621908
831,597,26621912
829,596,26621916
830,597,26621920
834,595,26621924
834,595,26621928
834,595,26621932
835,596,26621936
832,597,26621940
832,596,26621944
830,597,26621948
829,595,26621952
829,598,26621957
831,597,26621961
830,596,26621965
828,593,26621969
832,593,26621973
831,591,26621977
831,592,26621981
831,587,26621985
831,586,26621989
830,586,26621993
829,587,26621997
828,584,26622001
826,585,26622005
825,586,26622009
821,585,26622013
819,583,26622017
823,579,26622021
824,578,26622025
825,578,26622029
825,577,26622033
840,576,26622037
844,581,26622041
870,577,26622045
879,580,26622049
887,578,26622053
887,579,26622057
885,581,26622061
884,582,26622065
890,577,26622069
889,573,26622074
890,574,26622078
888,574,26622082
893,574,26622086
893,572,26622090
897,570,26622094
899,570,26622098
899,574,26622102
897,569,26622106
900,568,26622110
900,568,26622114
900,563,26622118
902,560,26622122
902,563,26622126
902,563,26622130
900,564,26622134
900,561,26622138
901,561,26622142
901,559,26622146
900,560,26622150
900,561,26622154
902,559,26622158
902,558,26622162
901,557,26622166
900,556,26622170
900,555,26622174
897,557,26622178
901,554,26622182
902,554,26622186
904,553,26622191
902,555,26622195
900,556,26622199
899,557,26622203
902,555,26622207
902,555,26622211
907,555,26622215
905,557,26622219
905,556,26622223
903,556,26622227
906,558,26622231
905,560,26622235
904,561,26622239
904,563,26622243
906,562,26622247
904,560,26622251
904,560,26622255
904,560,26622259
904,561,26622263
903,561,26622267
901,558,26622271
898,556,26622275
893,558,26622279
885,559,26622283
860,567,26622287
843,570,26622291
814,578,26622295
811,578,26622299
804,582,26622303
808,584,26622308
803,585,26622312
806,583,26622316
803,585,26622320
804,586,26622324
800,587,26622328
801,587,26622332
798,590,26622336
797,588,26622340
796,591,26622344
800,592,26622348
798,593,26622352
800,595,26622356
793,597,26622360
795,601,26622364
796,602,26622368
794,598,26622372
795,600,26622376
799,603,26622380
800,605,26622384
802,605,26622388
802,605,26622392
801,603,26622396
802,602,26622400
802,600,26622404
800,600,26622408
801,602,26622412
802,603,26622416
805,605,26622420
804,603,26622425
804,601,26622429
805,601,26622433
806,600,26622437
808,601,26622441
807,598,26622445
806,598,26622449
805,599,26622453
806,596,26622457
806,595,26622461
802,593,26622465
801,590,26622469
801,588,26622473
802,587,26622477
804,587,26622481
802,587,26622485
804,585,26622489
803,584,26622493
803,584,26622497
803,584,26622501
