x,y,timestamp
910,812,30611379
911,812,30611383
919,811,30611387
923,815,30611391
926,815,30611399
928,816,30611403
930,817,30611408
925,820,30611412
924,822,30611416
927,821,30611420
926,821,30611424
921,819,30611428
921,821,30611432
916,816,30611436
915,815,30611440
895,827,30611444
896,827,30611448
893,827,30611452
892,826,30611456
886,825,30611460
886,826,30611464
889,827,30611468
886,826,30611472
884,829,30611476
867,841,30611480
867,846,30611484
866,846,30611488
867,847,30611492
867,847,30611496
865,847,30611500
864,847,30611504
864,843,30611508
849,852,30611512
849,858,30611516
832,850,30611520
838,850,30611525
799,836,30611529
799,834,30611533
782,828,30611537
782,831,30611541
766,846,30611545
762,849,30611549
764,849,30611553
765,850,30611557
767,846,30611561
764,848,30611565
765,849,30611569
758,854,30611573
760,855,30611577
708,874,30611581
710,872,30611585
662,888,30611589
662,883,30611593
627,895,30611597
625,892,30611601
609,901,30611605
612,902,30611609
605,904,30611613
608,903,30611617
603,907,30611621
605,906,30611625
604,908,30611629
605,907,30611633
600,905,30611637
601,906,30611642
594,904,30611646
594,903,30611650
596,903,30611654
597,902,30611658
598,901,30611662
600,903,30611666
602,910,30611670
604,911,30611674
608,917,30611678
601,918,30611682
604,920,30611686
604,922,30611690
607,921,30611694
607,923,30611698
613,919,30611702
614,919,30611706
619,917,30611710
611,911,30611714
612,911,30611718
613,912,30611722
618,908,30611726
617,906,30611730
621,903,30611734
621,902,30611738
624,903,30611742
618,896,30611746
620,894,30611750
620,894,30611754
622,892,30611759
623,888,30611763
624,885,30611767
625,886,30611771
625,887,30611775
627,887,30611779
627,885,30611783
628,886,30611787
632,885,30611791
633,884,30611795
641,882,30611799
647,866,30611803
652,866,30611807
663,842,30611811
666,840,30611815
697,825,30611819
699,824,30611823
736,809,30611831
741,806,30611835
741,804,30611839
744,805,30611843
748,804,30611847
750,806,30611851
761,795,30611855
760,793,30611859
802,740,30611863
802,742,30611867
844,680,30611871
843,682,30611876
874,623,30611880
873,623,30611884
906,585,30611888
908,585,30611892
902,582,30611896
906,584,30611900
899,587,30611904
900,584,30611908
899,580,30611912
889,579,30611916
889,576,30611920
888,578,30611924
887,577,30611928
890,576,30611932
892,571,30611936
894,570,30611940
897,568,30611944
885,564,30611948
896,568,30611952
899,573,30611956
906,577,30611960
906,574,30611964
909,575,30611968
908,573,30611972
907,574,30611976
900,578,30611980
900,581,30611984
899,582,30611988
898,586,30611993
897,587,30611997
897,589,30612001
897,591,30612005
899,596,30612009
899,598,30612013
897,601,30612017
897,601,30612021
893,605,30612025
892,604,30612029
890,607,30612033
880,584,30612037
878,590,30612041
876,552,30612045
879,553,30612049
934,502,30612053
932,505,30612057
850,444,30612061
852,443,30612065
844,413,30612069
843,413,30612073
847,408,30612077
855,406,30612081
859,413,30612085
856,402,30612089
857,401,30612093
857,365,30612097
