x,y,timestamp
1079,560,17749687
1077,561,17749691
1078,562,17749695
1076,563,17749699
1078,566,17749703
1084,564,17749707
1085,566,17749711
1085,566,17749715
1094,568,17749719
1092,566,17749723
1092,564,17749727
1097,561,17749731
1096,563,17749735
1095,561,17749739
1093,559,17749743
1092,558,17749747
1091,558,17749751
1086,569,17749756
1085,571,17749760
1088,563,17749764
1087,564,17749768
1089,568,17749772
1088,570,17749776
1081,569,17749780
1080,565,17749784
1077,568,17749788
1073,566,17749792
1073,567,17749796
1070,565,17749800
1065,569,17749804
1065,572,17749808
1060,576,17749812
1062,576,17749816
1059,575,17749820
1060,574,17749824
1059,576,17749828
1060,578,17749832
1064,577,17749836
1064,579,17749840
1063,579,17749844
1065,582,17749848
1063,582,17749852
1063,580,17749856
1068,581,17749860
1066,580,17749864
1062,581,17749868
1063,586,17749873
1065,588,17749877
1067,590,17749881
1066,593,17749885
1067,594,17749889
1068,592,17749893
1068,592,17749897
1066,594,17749901
1068,594,17749905
1069,592,17749909
1070,595,17749913
1065,598,17749917
1066,599,17749921
1069,603,17749925
1067,601,17749929
1065,603,17749933
1064,610,17749937
1059,606,17749941
1060,608,17749945
1058,609,17749949
1056,610,17749953
1057,608,17749957
1058,611,17749961
1053,609,17749965
1053,611,17749969
1044,612,17749973
1045,618,17749977
1002,611,17749981
1000,616,17749985
953,610,17749990
948,605,17749994
903,595,17749998
877,548,17750002
852,537,17750006
812,481,17750010
807,481,17750014
792,462,17750018
794,459,17750022
777,430,17750026
781,427,17750030
789,428,17750034
790,428,17750038
792,429,17750042
796,428,17750046
799,420,17750050
800,423,17750054
801,420,17750058
797,422,17750062
800,421,17750066
798,426,17750070
800,426,17750074
798,431,17750078
798,442,17750082
801,452,17750086
803,455,17750090
801,452,17750094
800,452,17750098
805,451,17750102
808,457,17750107
810,456,17750111
810,459,17750115
811,458,17750119
807,461,17750123
809,459,17750127
809,463,17750131
811,462,17750135
807,459,17750139
813,459,17750143
813,460,17750147
819,459,17750151
819,465,17750155
820,464,17750159
822,460,17750163
825,455,17750167
824,451,17750171
821,452,17750175
820,445,17750179
821,446,17750183
819,438,17750187
823,436,17750191
822,435,17750195
816,437,17750199
816,431,17750203
821,427,17750207
821,425,17750211
820,424,17750215
817,415,17750219
814,413,17750224
814,410,17750228
810,412,17750232
806,405,17750236
804,406,17750240
803,405,17750244
804,403,17750248
804,405,17750252
793,406,17750256
794,410,17750260
795,406,17750264
796,407,17750268
791,412,17750272
789,407,17750276
773,408,17750280
774,410,17750284
720,423,17750288
719,420,17750292
683,424,17750296
678,423,17750300
644,429,17750304
622,412,17750308
594,420,17750312
572,402,17750316
562,398,17750320
548,381,17750324
548,385,17750328
542,383,17750332
544,378,17750336
543,372,17750341
540,366,17750345
543,373,17750349
543,373,17750353
546,378,17750357
543,380,17750361
548,383,17750365
544,386,17750369
548,391,17750373
550,387,17750377
553,390,17750381
553,391,17750385
557,391,17750389
557,393,17750393
558,390,17750397
559,388,17750401
561,391,17750405
563,389,17750409
564,388,17750413
565,391,17750417
562,392,17750421
565,392,17750425
569,393,17750429
567,393,17750433
568,393,17750437
565,394,17750441
564,391,17750445
568,387,17750449
567,387,17750454
562,389,17750458
559,386,17750462
563,383,17750466
561,381,17750470
565,384,17750474
564,384,17750478
568,378,17750482
567,378,17750486
562,382,17750490
561,380,17750494
562,378,17750498
563,379,17750502
560,379,17750506
559,378,17750510
559,380,17750514
558,378,17750518
564,378,17750522
564,379,17750526
560,379,17750534
560,379,17750538
562,379,17750542
563,378,17750546
563,382,17750550
557,387,17750554
556,386,17750562
562,388,17750566
557,392,17750571
555,390,17750575
519,390,17750579
518,390,17750583
488,387,17750587
478,383,17750591
459,388,17750595
440,366,17750599
445,364,17750603
426,342,17750607
423,340,17750611
419,338,17750615
424,338,17750619
417,329,17750623
