x,y,timestamp
831,382,11293439
836,379,11293443
837,378,11293447
845,373,11293451
853,389,11293455
856,384,11293459
858,398,11293463
860,395,11293467
848,405,11293471
848,403,11293475
849,404,11293479
847,407,11293483
847,406,11293488
843,409,11293492
843,409,11293496
841,414,11293500
831,417,11293504
827,418,11293508
827,419,11293512
826,424,11293516
823,423,11293520
823,425,11293524
820,421,11293528
815,424,11293532
807,428,11293536
807,431,11293540
807,429,11293544
807,429,11293548
806,424,11293552
812,421,11293556
813,417,11293560
817,417,11293564
818,416,11293568
817,424,11293572
818,425,11293576
816,421,11293580
818,422,11293584
824,421,11293588
826,424,11293592
827,415,11293596
830,417,11293600
824,429,11293605
824,429,11293609
818,428,11293613
819,431,11293617
816,430,11293621
816,429,11293625
814,426,11293629
816,427,11293633
812,437,11293637
813,441,11293641
809,438,11293645
809,440,11293649
804,441,11293653
803,442,11293657
802,444,11293661
801,441,11293665
796,445,11293669
791,450,11293673
793,453,11293677
792,451,11293681
793,452,11293685
793,450,11293689
795,450,11293693
793,450,11293697
794,455,11293701
787,462,11293705
771,482,11293709
756,490,11293713
708,525,11293717
669,536,11293722
629,553,11293726
618,566,11293730
590,566,11293734
588,593,11293738
577,601,11293742
582,606,11293746
577,602,11293750
578,603,11293754
580,604,11293758
580,604,11293762
578,600,11293766
579,600,11293770
580,612,11293774
582,612,11293778
581,606,11293782
583,603,11293786
579,606,11293790
577,602,11293794
587,606,11293798
588,605,11293802
602,624,11293806
603,623,11293810
621,635,11293814
623,635,11293818
621,638,11293822
621,637,11293826
620,635,11293830
619,632,11293834
615,638,11293839
617,638,11293843
616,635,11293847
616,633,11293851
616,633,11293855
617,633,11293859
619,631,11293863
619,627,11293867
622,625,11293871
617,639,11293875
619,638,11293879
621,641,11293883
623,645,11293887
627,651,11293891
623,648,11293895
622,644,11293899
618,645,11293903
611,652,11293907
610,653,11293911
611,652,11293915
604,662,11293919
596,661,11293923
560,694,11293927
526,693,11293931
476,721,11293935
450,734,11293939
423,751,11293943
423,764,11293947
417,762,11293951
420,759,11293956
422,760,11293960
421,753,11293964
422,752,11293968
416,763,11293972
419,761,11293976
422,758,11293980
426,753,11293984
426,748,11293988
431,746,11293992
432,744,11293996
434,739,11294000
435,739,11294004
418,753,11294008
419,754,11294012
426,759,11294016
423,751,11294020
426,750,11294024
