x,y,timestamp
807,861,24276895
805,861,24276899
805,862,24276903
802,862,24276907
802,864,24276911
801,864,24276915
800,866,24276919
798,865,24276923
798,864,24276927
790,855,24276931
791,857,24276935
789,855,24276939
802,862,24276947
797,862,24276951
796,867,24276955
808,870,24276960
804,867,24276964
809,879,24276972
805,883,24276976
855,866,24276984
856,868,24276988
856,869,24276992
882,858,24277000
885,862,24277004
884,864,24277008
869,866,24277012
871,868,24277016
869,866,24277020
870,865,24277024
869,866,24277028
869,869,24277032
867,869,24277036
867,868,24277040
863,866,24277044
862,868,24277048
856,868,24277052
853,864,24277056
854,869,24277060
853,867,24277064
848,866,24277068
848,867,24277072
848,865,24277077
848,866,24277081
847,863,24277085
849,863,24277089
844,865,24277093
843,864,24277097
839,869,24277101
839,873,24277105
838,873,24277109
838,876,24277113
838,876,24277117
839,876,24277121
842,875,24277125
842,874,24277129
839,877,24277133
841,879,24277137
842,878,24277141
843,879,24277145
841,883,24277149
841,884,24277153
844,884,24277157
843,880,24277161
844,880,24277165
842,878,24277169
845,879,24277173
844,875,24277177
848,874,24277181
848,872,24277185
849,871,24277189
848,869,24277194
844,870,24277198
847,871,24277202
846,872,24277206
851,874,24277210
851,874,24277214
849,878,24277218
849,877,24277222
848,881,24277226
843,879,24277230
846,885,24277234
843,884,24277238
845,889,24277242
846,885,24277246
847,888,24277250
843,888,24277254
844,892,24277258
843,890,24277262
842,890,24277266
842,890,24277270
841,889,24277274
840,890,24277278
840,889,24277282
842,888,24277286
838,887,24277290
838,886,24277294
838,885,24277298
836,883,24277302
835,880,24277306
837,877,24277311
838,873,24277315
839,870,24277319
829,857,24277323
826,859,24277327
799,819,24277331
800,821,24277335
783,780,24277339
783,780,24277343
770,749,24277347
772,751,24277351
766,728,24277355
759,721,24277359
764,720,24277363
726,705,24277367
733,712,24277371
693,705,24277375
695,701,24277379
659,696,24277383
662,695,24277387
633,686,24277391
634,688,24277395
622,685,24277399
623,685,24277403
623,685,24277407
623,678,24277411
618,674,24277415
618,681,24277419
614,679,24277423
614,678,24277428
611,672,24277432
610,678,24277436
608,673,24277440
607,671,24277444
603,666,24277448
602,666,24277452
596,663,24277456
593,665,24277460
591,664,24277464
587,663,24277468
586,669,24277472
587,668,24277476
581,669,24277480
576,667,24277484
575,667,24277488
538,649,24277492
536,652,24277496
493,614,24277500
495,617,24277504
473,600,24277508
469,603,24277512
453,577,24277516
445,583,24277520
443,576,24277524
392,585,24277528
390,581,24277532
349,582,24277536
349,579,24277540
116,718,24277545
116,718,24277549
77,720,24277553
76,715,24277557
74,713,24277561
73,711,24277565
110,679,24277569
102,677,24277573
101,676,24277577
96,686,24277581
219,588,24277585
210,591,24277589
183,595,24277593
145,759,24277601
151,758,24277605
177,765,24277609
293,789,24277621
246,771,24277613
29,638,24277750
246,489,24277758
253,496,24277762
251,489,24277766
280,408,24277774
286,411,24277779
291,413,24277783
256,431,24277787
258,437,24277791
225,457,24277795
227,459,24277799
206,472,24277803
205,474,24277807
187,487,24277811
188,496,24277815
176,502,24277819
175,565,24277823
166,573,24277827
165,575,24277831
161,574,24277835
162,581,24277839
168,584,24277843
171,587,24277847
37,590,24277851
38,593,24277855
38,589,24277859
38,586,24277863
37,577,24277867
38,576,24277871
38,579,24277875
38,578,24277879
42,575,24277883
42,577,24277887
48,571,24277892
47,573,24277896
50,573,24277900
44,568,24277904
45,566,24277908
43,565,24277912
45,561,24277916
43,558,24277920
49,557,24277924
48,560,24277928
53,558,24277932
48,551,24277936
52,551,24277940
51,552,24277944
56,550,24277948
57,554,24277952
57,553,24277956
58,557,24277960
59,557,24277964
56,551,24277968
58,553,24277972
58,550,24277976
61,552,24277980
61,552,24277984
63,552,24277988
61,552,24277992
59,557,24277996
60,560,24278000
59,550,24278004
72,568,24278009
69,573,24278013
86,588,24278017
88,587,24278021
99,588,24278025
103,590,24278029
138,711,24278033
143,710,24278037
142,709,24278041
192,708,24278045
191,707,24278049
276,698,24278053
275,697,24278057
332,688,24278061
343,694,24278065
372,679,24278069
372,678,24278073
368,680,24278077
367,679,24278081
357,682,24278085
334,565,24278089
337,565,24278093
341,564,24278097
340,560,24278101
342,562,24278105
340,562,24278109
340,564,24278113
338,563,24278117
337,562,24278121
342,561,24278126
343,564,24278130
341,565,24278134
339,563,24278138
340,565,24278142
340,564,24278146
345,563,24278150
346,575,24278154
346,576,24278158
346,594,24278162
350,592,24278166
348,603,24278170
349,601,24278174
349,609,24278178
350,607,24278182
350,608,24278186
355,608,24278190
356,612,24278194
360,611,24278198
359,606,24278202
356,607,24278206
356,609,24278210
357,606,24278214
358,608,24278218
357,607,24278222
358,611,24278226
360,611,24278230
361,614,24278234
356,608,24278238
356,607,24278243
358,607,24278247
359,607,24278251
358,607,24278255
366,603,24278259
368,608,24278263
376,604,24278267
372,597,24278271
376,600,24278275
376,601,24278279
377,602,24278283
378,602,24278287
379,605,24278291
405,586,24278295
405,585,24278299
422,562,24278303
424,563,24278307
424,562,24278311
427,563,24278315
425,563,24278319
426,566,24278323
429,565,24278327
430,564,24278331
437,563,24278335
433,560,24278339
440,558,24278343
440,559,24278347
445,557,24278351
444,556,24278355
448,555,24278360
449,558,24278364
450,555,24278368
447,550,24278372
449,547,24278376
450,551,24278380
454,556,24278384
454,559,24278388
454,561,24278392
452,563,24278396
455,567,24278400
450,562,24278404
454,563,24278408
453,567,24278412
454,568,24278416
453,570,24278420
456,569,24278424
455,568,24278428
455,570,24278432
451,569,24278436
451,570,24278440
450,567,24278444
454,569,24278448
453,573,24278452
453,575,24278456
452,573,24278460
452,575,24278464
452,573,24278468
449,573,24278472
449,571,24278477
447,572,24278481
448,574,24278485
445,575,24278489
444,574,24278493
444,571,24278497
444,572,24278501
442,571,24278505
442,571,24278509
438,571,24278513
439,571,24278517
437,572,24278521
436,572,24278525
436,572,24278529
435,573,24278533
436,566,24278537
438,567,24278541
435,566,24278545
437,565,24278549
435,564,24278553
436,566,24278557
437,566,24278561
439,565,24278565
435,567,24278569
439,563,24278573
439,560,24278577
441,559,24278581
441,559,24278585
443,560,24278589
447,559,24278594
448,559,24278598
458,552,24278602
458,550,24278606
468,542,24278610
469,541,24278614
468,546,24278618
468,548,24278622
464,551,24278626
463,549,24278630
463,554,24278634
463,547,24278638
465,549,24278642
464,550,24278646
464,552,24278650
464,553,24278654
465,557,24278658
465,560,24278662
463,563,24278666
462,565,24278670
462,561,24278674
462,561,24278678
461,561,24278682
461,563,24278686
461,567,24278690
461,569,24278694
457,572,24278698
457,575,24278702
460,567,24278706
461,566,24278711
464,564,24278715
465,565,24278719
469,566,24278723
470,565,24278727
468,567,24278731
469,565,24278735
472,558,24278739
473,558,24278743
472,557,24278747
473,554,24278751
474,553,24278755
474,550,24278759
475,548,24278763
476,548,24278767
476,549,24278771
477,534,24278775
480,532,24278779
479,530,24278783
479,529,24278787
478,530,24278791
480,533,24278795
477,530,24278799
476,529,24278803
474,516,24278807
478,514,24278811
