x,y,timestamp
700,371,61676824
700,367,61676828
702,363,61676832
701,364,61676836
704,363,61676840
706,364,61676844
709,363,61676848
711,358,61676852
708,358,61676856
706,344,61676860
708,340,61676864
706,338,61676868
700,340,61676872
701,341,61676876
700,339,61676881
699,336,61676885
693,338,61676889
701,331,61676893
693,334,61676897
693,333,61676901
691,331,61676905
689,329,61676909
683,332,61676913
680,335,61676917
675,335,61676921
683,333,61676925
678,336,61676929
676,337,61676933
674,337,61676937
672,337,61676941
669,337,61676945
665,340,61676949
652,359,61676953
633,369,61676957
608,406,61676961
591,446,61676965
577,492,61676969
586,529,61676973
588,548,61676977
598,554,61676981
598,549,61676985
596,545,61676989
591,547,61676993
594,552,61676998
589,556,61677002
590,555,61677006
581,557,61677010
585,559,61677014
587,561,61677018
589,560,61677022
584,565,61677026
585,564,61677030
588,566,61677034
589,568,61677038
590,575,61677042
594,576,61677046
599,578,61677050
600,576,61677054
588,568,61677058
588,562,61677062
589,558,61677066
589,558,61677070
591,559,61677074
593,559,61677078
593,557,61677082
595,557,61677086
596,556,61677090
585,547,61677094
579,548,61677098
579,548,61677102
581,545,61677106
585,545,61677110
580,549,61677115
580,548,61677119
579,547,61677123
569,542,61677127
566,542,61677131
567,548,61677135
567,553,61677139
566,554,61677143
561,559,61677147
561,560,61677151
562,564,61677155
553,565,61677159
554,571,61677163
556,575,61677167
556,580,61677171
557,582,61677175
560,582,61677179
553,570,61677183
550,543,61677187
538,492,61677191
517,451,61677195
517,410,61677199
499,379,61677203
492,347,61677207
469,324,61677211
460,294,61677215
453,282,61677219
459,281,61677223
453,278,61677227
457,288,61677232
461,283,61677236
463,284,61677240
465,280,61677244
463,276,61677248
462,270,61677252
463,271,61677256
455,262,61677260
455,259,61677264
454,255,61677268
452,254,61677272
456,250,61677276
460,252,61677280
456,250,61677284
455,249,61677288
455,248,61677292
453,250,61677296
461,246,61677300
462,251,61677304
463,250,61677308
464,250,61677312
460,247,61677316
459,246,61677320
460,244,61677324
463,248,61677328
461,248,61677332
464,255,61677336
467,254,61677340
464,251,61677344
470,250,61677349
473,254,61677353
472,253,61677357
476,255,61677361
479,254,61677365
480,252,61677369
475,254,61677373
477,260,61677377
478,257,61677381
480,257,61677385
480,256,61677389
487,251,61677393
489,248,61677397
490,248,61677401
489,248,61677405
489,246,61677409
491,241,61677413
496,241,61677417
538,225,61677421
570,220,61677425
694,158,61677429
771,160,61677433
870,114,61677437
902,108,61677441
959,88,61677445
1081,107,61677449
1119,89,61677453
1120,87,61677457
1105,87,61677461
1106,86,61677466
1094,87,61677470
1096,85,61677474
1089,86,61677478
1069,82,61677482
1068,83,61677486
1090,83,61677490
1093,77,61677494
1073,73,61677498
1070,73,61677502
1019,60,61677506
1017,63,61677510
1030,60,61677514
1031,63,61677518
1036,65,61677522
1034,68,61677526
1039,75,61677530
1039,75,61677534
1028,77,61677538
1030,76,61677542
1021,78,61677546
1023,81,61677550
1018,80,61677554
1024,79,61677558
1039,75,61677562
1040,76,61677566
1037,74,61677570
1037,74,61677574
1035,77,61677578
1034,82,61677583
1031,96,61677587
1035,95,61677591
1048,103,61677595
1047,106,61677599
1046,107,61677603
1043,107,61677607
1041,102,61677611
1035,104,61677615
1032,101,61677619
1028,102,61677623
1030,101,61677627
1034,96,61677631
1031,91,61677635
1027,88,61677639
1023,88,61677643
1022,92,61677647
1019,88,61677651
1019,86,61677655
1017,88,61677659
1017,91,61677663
1014,91,61677667
1015,92,61677671
1017,92,61677675
1016,89,61677679
